日期,指数代码,指数名称,用途,开盘价,收盘价,最高价,最低价,成交量
2020-01-02,000300,沪深300,CAPM市场基准,4121.349,4152.241,4172.656,4121.349,18211677200
2020-01-03,000300,沪深300,CAPM市场基准,4161.219,4144.965,4164.299,4131.864,14282624400
2020-01-06,000300,沪深300,CAPM市场基准,4120.521,4129.295,4170.638,4102.38,17530995300
2020-01-07,000300,沪深300,CAPM市场基准,4137.402,4160.227,4161.25,4135.097,13948903100
2020-01-08,000300,沪深300,CAPM市场基准,4139.632,4112.317,4149.813,4101.98,16758585000
2020-01-09,000300,沪深300,CAPM市场基准,4145.535,4164.37,4165.657,4143.592,13688632400
2020-01-10,000300,沪深300,CAPM市场基准,4177.578,4163.185,4180.977,4148.482,11303171900
2020-01-13,000300,沪深300,CAPM市场基准,4166.925,4203.988,4203.988,4148.601,11969198200
2020-01-14,000300,沪深300,CAPM市场基准,4215.158,4189.886,4223.508,4188.081,12932078300
2020-01-15,000300,沪深300,CAPM市场基准,4186.881,4166.734,4193.869,4150.88,10463313600
2020-01-16,000300,沪深300,CAPM市场基准,4174.817,4149.043,4175.294,4142.18,10026764200
2020-01-17,000300,沪深300,CAPM市场基准,4162.194,4154.853,4177.028,4141.645,9872568200
2020-01-20,000300,沪深300,CAPM市场基准,4170.737,4185.83,4185.963,4149.488,12240914700
2020-01-21,000300,沪深300,CAPM市场基准,4165.02,4114.309,4165.02,4113.325,13052750700
2020-01-22,000300,沪深300,CAPM市场基准,4093.801,4131.931,4141.177,4046.487,12675876300
2020-01-23,000300,沪深300,CAPM市场基准,4093.323,4003.901,4103.524,3972.393,16035760300
2020-02-03,000300,沪深300,CAPM市场基准,3639.909,3688.358,3732.157,3639.909,15755964700
2020-02-04,000300,沪深300,CAPM市场基准,3652.004,3785.638,3786.863,3652.004,21393332800
2020-02-05,000300,沪深300,CAPM市场基准,3801.099,3828.527,3866.011,3781.613,17492552400
2020-02-06,000300,沪深300,CAPM市场基准,3841.754,3899.775,3914.915,3806.96,17646223500
2020-02-07,000300,沪深300,CAPM市场基准,3879.553,3899.869,3899.884,3849.713,15173175900
2020-02-10,000300,沪深300,CAPM市场基准,3872.374,3916.005,3920.167,3861.007,14840696900
2020-02-11,000300,沪深300,CAPM市场基准,3926.42,3952.464,3970.522,3915.708,14344167400
2020-02-12,000300,沪深300,CAPM市场基准,3945.666,3984.433,3984.433,3940.667,12671032100
2020-02-13,000300,沪深300,CAPM市场基准,3985.876,3959.919,3999.55,3950.142,14500184300
2020-02-14,000300,沪深300,CAPM市场基准,3954.234,3987.734,4001.563,3954.023,14323980300
2020-02-17,000300,沪深300,CAPM市场基准,3999.651,4077.424,4077.446,3999.651,18277896900
2020-02-18,000300,沪深300,CAPM市场基准,4069.832,4057.511,4076.388,4027.786,16323622000
2020-02-19,000300,沪深300,CAPM市场基准,4049.586,4051.311,4085.17,4042.845,16904644100
2020-02-20,000300,沪深300,CAPM市场基准,4062.897,4144.656,4148.529,4055.811,21223262400
2020-02-21,000300,沪深300,CAPM市场基准,4134.875,4149.49,4184.438,4130.168,21721360400
2020-02-24,000300,沪深300,CAPM市场基准,4131.836,4132.839,4149.01,4097.175,21286930300
2020-02-25,000300,沪深300,CAPM市场基准,4066.302,4123.854,4126.708,4020.908,24416783100
2020-02-26,000300,沪深300,CAPM市场基准,4070.099,4073.015,4132.782,4061.125,26109406100
2020-02-27,000300,沪深300,CAPM市场基准,4084.078,4084.876,4110.528,4067.441,18129098100
2020-02-28,000300,沪深300,CAPM市场基准,3988.727,3940.049,4031.145,3928.066,23027509300
2020-03-02,000300,沪深300,CAPM市场基准,3968.844,4069.666,4092.539,3968.844,21931355900
2020-03-03,000300,沪深300,CAPM市场基准,4125.136,4091.362,4147.653,4067.909,21936977700
2020-03-04,000300,沪深300,CAPM市场基准,4078.5,4115.052,4115.262,4060.729,18242473000
2020-03-05,000300,沪深300,CAPM市场基准,4150.21,4206.725,4215.851,4127.039,23182311500
2020-03-06,000300,沪深300,CAPM市场基准,4158.202,4138.507,4181.31,4135.39,17247571700
2020-03-09,000300,沪深300,CAPM市场基准,4063.076,3997.133,4063.076,3995.131,20810203500
2020-03-10,000300,沪深300,CAPM市场基准,3975.229,4082.732,4093.002,3954.751,19741640200
2020-03-11,000300,沪深300,CAPM市场基准,4090.935,4028.429,4091.27,4028.396,16165611100
2020-03-12,000300,沪深300,CAPM市场基准,3976.114,3950.911,3987.434,3926.27,15706045800
