日期,指标代码,指标名称,数值,单位,频率,来源
2020-01-09,CPI_YOY,CPI同比增速,4.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-02-10,CPI_YOY,CPI同比增速,5.4,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-03-10,CPI_YOY,CPI同比增速,5.2,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-04-10,CPI_YOY,CPI同比增速,4.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-05-12,CPI_YOY,CPI同比增速,3.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-06-10,CPI_YOY,CPI同比增速,2.4,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-07-09,CPI_YOY,CPI同比增速,2.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-08-10,CPI_YOY,CPI同比增速,2.7,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-09-09,CPI_YOY,CPI同比增速,2.4,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-10-15,CPI_YOY,CPI同比增速,1.7,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-11-10,CPI_YOY,CPI同比增速,0.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2020-12-09,CPI_YOY,CPI同比增速,-0.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-01-11,CPI_YOY,CPI同比增速,0.2,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-02-10,CPI_YOY,CPI同比增速,-0.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-03-10,CPI_YOY,CPI同比增速,-0.2,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-04-09,CPI_YOY,CPI同比增速,0.4,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-05-11,CPI_YOY,CPI同比增速,0.9,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-06-09,CPI_YOY,CPI同比增速,1.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-07-09,CPI_YOY,CPI同比增速,1.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-08-09,CPI_YOY,CPI同比增速,1.0,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-09-09,CPI_YOY,CPI同比增速,0.8,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-10-14,CPI_YOY,CPI同比增速,0.7,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-11-10,CPI_YOY,CPI同比增速,1.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2021-12-09,CPI_YOY,CPI同比增速,2.3,%,月度,AkShare: ak.macro_china_cpi_yearly()
2022-01-12,CPI_YOY,CPI同比增速,1.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2022-02-16,CPI_YOY,CPI同比增速,0.9,%,月度,AkShare: ak.macro_china_cpi_yearly()
2022-03-09,CPI_YOY,CPI同比增速,0.9,%,月度,AkShare: ak.macro_china_cpi_yearly()
2022-04-11,CPI_YOY,CPI同比增速,1.5,%,月度,AkShare: ak.macro_china_cpi_yearly()
2022-05-11,CPI_YOY,CPI同比增速,2.1,%,月度,AkShare: ak.macro_china_cpi_yearly()
